name,to_club_name,season,transfer_fee,transfer_fee_log,to_club_name_encoded,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Viktor Kovalenko,Atalanta BC,2020,600000.0,13.304686600863562,0.7139749304504794,0.17796248615002086,0.33906659591051813,-0.21119616903025173,1.125299617093658,0.7967232601928284,0.11024377650886574,0.0807747539202166,-0.0496231880872433,0.4870093457085567,0.3690451144895492,0.21377168161428806,-0.1269330598055653,0.4317345290969874,-0.7707115795816374,0.16605733261924585,0.5099465012037921,0.5095499616495294,-0.13247905587384787,-0.35798400643255923,-0.03776740168824655,0.031131754834637648,0.4167278847388136,0.4271360812838913
Ben Davies,Liverpool,2020,1850000.0,14.430696737594902,1.231074417075176,-3.522722800469066,1.4586982197482015,-2.3611707654025764,0.6233765010267823,-0.393355478588856,-2.194825697887632,-0.7259446970109955,-1.0412524324521468,0.4705559150665832,-0.7360195885367979,0.5431736067285864,0.3559446348667875,-1.108750138377019,-1.015310110865642,0.4342924269179844,-0.5316736391502218,0.3197404217780256,-0.47054816022582063,-0.1326366173905261,0.37018604240447295,-0.7359070341591488,-0.5349661577052331,-0.09545168748687932
Georginio Rutter,TSG Hoffenheim,2020,750000.0,13.527829818844937,-0.012372611535540748,0.8486551017029034,-0.6912886652135081,-0.9292034198246009,-3.33083821553431,0.4211859408039547,0.7777173467469798,-0.35160189873145425,-0.9053688406927615,0.5688122048808937,-0.23580093977963518,0.3863650755363126,0.9316841413592503,1.3688199223371988,0.16024014469976378,0.11960584489132012,-0.5868344607808211,0.5004570079208904,0.1497585057611338,0.07516128913676334,-0.07605263143680471,0.11657934937586029,0.49045048255177215,-0.06926402769556234
Moisés Caicedo,Brighton,2020,28200000.0,17.154832571369333,0.3293840585566849,-0.2322693457970209,1.661082684945073,-1.4865444931495588,-0.7126206874079277,0.9148344132790504,1.0059473130083454,-0.18062016490865468,-0.9310106970946064,1.1642177197042418,0.4209584383224651,1.1727517317625602,1.620316225167116,1.5805355594257269,0.21447093797286926,0.3311357920438883,-0.8361153931823447,1.305425402247042,-0.14613431367793472,-0.4245058029708806,-0.3033046535493092,0.1788303038970807,-0.46927774132820355,0.023019047654949165
Antonio Sanabria,Torino,2020,6500000.0,15.687312888712007,-0.08079543426756199,-1.5900055409013063,-2.5517884633807926,2.956063807611818,0.1352562086708522,1.3938975319980278,1.948917664047856,-1.4832213971561092,0.35880116025369635,-0.3655781129493792,0.529712731326401,1.238468634268992,-0.8891272530418411,0.6043451368011115,0.5443192334547846,0.6695406484821544,0.6055801083493704,0.6523727851124204,-0.7297257365958036,-0.4165458363106418,0.8147227709927308,1.1177060046193836,0.24470216260553848,0.365919957735226
Ross Stewart,Sunderland,2020,338000.0,12.73080413304066,-0.9771367532338235,1.269148871039101,-1.934182064155384,0.325129995172198,-2.2128240786336866,0.2833633693657278,0.07532115455541948,-0.4621464347728474,1.175029175255661,0.47733101014181795,0.4225948159598672,-0.246773407478377,0.9126935651476142,-0.6031910044638294,0.39004601069215333,0.14149874810925891,-0.08689027018639228,0.37320770463060843,-0.42206473902426617,0.45072545336283837,-0.004960707755405136,-0.10256867738154832,-0.13454857300882433,-0.09794507099915328
Gerard Deulofeu,Udinese Calcio,2020,17000000.0,16.648723960844016,-0.6523872711917211,11.516016024711508,-4.568045506175788,-3.5535384229564153,1.0325427079669423,-1.3525963227100708,0.5212492974445426,-5.685706926009663,1.013650218678856,-1.2611618836617633,-3.2300311806858164,0.8209922890251515,-1.307151380500983,0.5092746013218338,-0.7482682868762162,-0.1584985102880998,0.6606809083858592,1.4756595899150848,0.36230435806274225,-0.88980851501874,-0.6773638268255407,0.03256060710843012,0.2677272794141783,1.2483711584380426
Jaime Báez,Cremonese,2020,700000.0,13.45883704259595,-0.9236614746247638,1.0560812227483805,-2.043524152073609,-0.11264354706998136,-2.9928419936054165,1.197924495802236,-3.166946940840148,-1.7245823256008392,16.983011075441944,2.165892212785188,4.1791468490060195,-3.9076169062339163,2.8571606762938537,1.4592368725769957,-3.7043535181573715,1.6286884547915883,-0.9517113885481603,-0.2409777163906231,0.5706129469642045,0.12469472250280622,-0.35880887976790143,0.5269979844193213,-0.02732961398277378,0.2476623245190094
Saïd Benrahma,West Ham,2020,23100000.0,16.955343218782065,0.7856772564233285,0.9197285587065185,-0.8655320004436425,-0.8000445607982991,-3.030685669471627,0.40659756366915706,0.5384277807335666,0.0281471535069463,-0.7585477628442815,0.2842148823765303,-0.28370784239607777,-0.3086023944353341,-0.2826662510872111,0.5759457650032019,-0.012757317913688976,0.16323592282335417,-1.0642325993237924,1.1251781105996965,0.3525675788098828,-0.5092732684137056,-0.008542837406868287,0.43162150086454604,-0.027442439437651345,-0.17185342867742437
Dennis Man,Parma,2020,11000000.0,16.213405921671733,-0.2362436451532179,0.865195839400265,-0.7676061082206557,-0.7994842729252865,-3.171074656188558,0.4058622107067224,0.6440820107667536,-0.1269916765314491,-0.8581225586265055,0.32902080488187463,-0.3215541197680949,-0.05930993059650713,0.2967462640182693,0.7831884593604216,-0.08584582363078817,0.21595978618246334,-0.6865291030781411,0.6832085973428901,0.01002144528802884,0.26148952147870613,-0.035291932307416424,0.11939216465194918,0.2888593104433571,-0.03116415014722601
