name,transfer_fee,market_value_in_eur,days_left_on_contract,age,position,height_in_cm,is_left_footed,is_tier1_nation,adjusted_goals_season1,adjusted_assists_season1,adjusted_clean_sheet_season1,goals_conceded_per_90_season1,minutes_played_season1,adjusted_goals_season2,adjusted_assists_season2,adjusted_clean_sheet_season2,goals_conceded_per_90_season2,minutes_played_season2,season,to_club_name
Joe Rodon,12100000.0,7000000.0,2890.0,23,Defender,193.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Tottenham
Chris Smalling,15000000.0,20000000.0,1794.0,31,Defender,194.0,0,1,2.802,1.868,7.3950000000000005,1.3516896120150188,3196.0,1.0,0.0,6.388,1.3672391017173051,3028.0,2020,AS Roma
Mattia Bani,5000000.0,3200000.0,2159.0,27,Defender,188.0,0,1,3.736,0.0,0.934,1.8317503392130259,2211.0,0.0,0.0,5.604,1.8500190331176245,2627.0,2020,Genoa
Kristoffer Peterson,450000.0,1600000.0,2159.0,26,Attack,185.0,0,0,1.4489999999999998,0.597,0.852,2.0207253886010363,579.0,10.224,5.9639999999999995,5.112,2.2533632286995515,2676.0,2020,F. Düsseldorf
Bouna Sarr,8000000.0,9000000.0,365.0,28,Defender,178.0,0,1,0.924,2.7720000000000002,9.24,1.2038745387453873,2168.0,0.924,0.924,7.392,1.9270420301348137,2522.0,2020,Bayern Munich
Thomas Partey,50000000.0,40000000.0,1794.0,27,Midfield,185.0,0,0,3.3810000000000002,0.597,13.524000000000001,0.9322508398656215,3572.0,2.7840000000000003,4.906000000000001,11.337,1.1568123393316196,2723.0,2020,Arsenal
Tosin Adarabioyo,1650000.0,2800000.0,2890.0,23,Defender,197.0,0,1,0.0,0.0,0.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,2020,Fulham
Jean-Victor Makengo,3500000.0,3600000.0,2524.0,22,Midfield,177.0,1,1,1.848,0.0,1.848,3.282674772036474,987.0,0.924,0.0,4.62,2.463343108504399,1023.0,2020,Udinese Calcio
Umar Sadiq,9000000.0,6000000.0,1794.0,23,Attack,191.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,2020,UD Almería
Ben Godfrey,27500000.0,16000000.0,1794.0,22,Defender,184.0,0,1,0.0,0.0,3.0,2.0893970893970892,2886.0,0.0,0.0,0.0,0.0,0.0,2020,Everton
Christoph Klarer,400000.0,400000.0,2524.0,20,Defender,191.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,F. Düsseldorf
Omar Alderete,4000000.0,3000000.0,2890.0,24,Defender,188.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Hertha BSC
Yordan Osorio,4100000.0,2500000.0,1794.0,26,Defender,189.0,0,0,0.0,0.0,1.428,1.5724563206577593,973.0,1.744,0.0,6.976,1.0,2520.0,2020,Parma
Lucas Martínez Quarta,13000000.0,10000000.0,2890.0,24,Defender,183.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Fiorentina
Raphinha,18600000.0,16000000.0,2524.0,24,Attack,176.0,1,1,6.364000000000001,2.7720000000000002,5.5440000000000005,1.2660322714108398,2417.0,5.8759999999999994,3.213,4.085,1.529126213592233,2060.0,2020,Leeds
Valentin Mihăilă,9100000.0,2500000.0,2524.0,20,Attack,180.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Parma
Maxime Busi,6900000.0,2500000.0,1794.0,21,Defender,182.0,0,1,0.0,0.0,8.83,0.6360424028268551,1698.0,0.0,0.0,0.0,2.210526315789474,285.0,2020,Parma
Facundo Pellistri,8650000.0,1800000.0,2890.0,19,Attack,175.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Man Utd
Marc Roca,9000000.0,16000000.0,3255.0,24,Midfield,184.0,1,1,1.856,2.122,7.359,1.4607977991746908,3635.0,0.928,1.856,9.877,1.311803372392112,3499.0,2020,Bayern Munich
Jakub Moder,11000000.0,3000000.0,2890.0,21,Midfield,191.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Brighton
John Björkengren,100000.0,600000.0,2524.0,22,Midfield,180.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Lecce
Simon Sohm,6400000.0,1100000.0,2524.0,19,Midfield,188.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Parma
Frederik Winther,1300000.0,700000.0,365.0,19,Defender,190.0,1,0,0.0,0.0,2.55,2.030724915986558,2083.0,0.0,0.0,0.0,0.0,0.0,2020,FC Augsburg
Vitaly Janelt,600000.0,675000.0,2159.0,22,Midfield,184.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Brentford
Rolando Mandragora,15000000.0,12000000.0,2159.0,23,Midfield,183.0,1,1,1.791,2.802,9.003,1.537769784172662,2224.0,2.802,0.934,8.406,1.4201183431952664,3042.0,2020,Juventus
Bruno Amione,1950000.0,2300000.0,365.0,18,Defender,187.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Hellas Verona
Vladimír Coufal,6000000.0,2000000.0,1794.0,28,Defender,174.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,West Ham
Álex Berenguer,11130000.0,6000000.0,2524.0,25,Attack,175.0,0,1,5.604,3.0620000000000003,4.93,2.5830258302583027,2439.0,1.868,3.399,5.864,1.7318099819603128,1663.0,2020,Athletic
Rhian Brewster,26000000.0,5400000.0,1794.0,20,Attack,180.0,0,1,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,2020,Sheff Utd
Luis Suárez,10000000.0,7500000.0,3255.0,23,Attack,181.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Granada CF
Wesley Fofana,35000000.0,10000000.0,3255.0,20,Defender,185.0,0,1,0.924,0.0,2.4450000000000003,1.6774193548387097,1395.0,0.0,0.0,0.924,0.5625,160.0,2020,Leicester
James Lawrence,500000.0,800000.0,1794.0,28,Defender,188.0,1,0,0.0,0.0,0.0,0.0,0.0,0.597,0.597,6.803,1.1444141689373297,2202.0,2020,FC St. Pauli
Mohamed Salim Fares,8000000.0,7000000.0,1794.0,24,Defender,183.0,1,0,0.0,0.0,0.934,3.191489361702128,423.0,2.802,0.934,9.003,1.4224563714191638,3037.0,2020,Lazio
Ridle Baku,10000000.0,7000000.0,2524.0,22,Defender,176.0,0,1,0.925,2.7750000000000004,3.7,2.3381443298969073,2425.0,0.0,0.597,2.7750000000000004,1.8385214007782102,1028.0,2020,VfL Wolfsburg
Andi Zeqiri,4000000.0,1500000.0,1794.0,21,Attack,185.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Brighton
Eldor Shomurodov,9500000.0,6500000.0,2159.0,25,Attack,190.0,0,0,9.141,6.414,4.986,1.563922217625155,2417.0,3.09,2.259,4.518,1.7462686567164178,1340.0,2020,Genoa
Sergiño Dest,21000000.0,18000000.0,2890.0,20,Defender,173.0,0,0,1.194,4.856999999999999,8.439,0.9534619750283768,2643.0,0.0,0.0,0.0,0.0,0.0,2020,Barcelona
Jens Petter Hauge,4800000.0,1000000.0,1613.0,21,Attack,184.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,AC Milan
Lucas Robertone,6400000.0,6500000.0,2890.0,23,Midfield,169.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,UD Almería
Rúben Dias,71600000.0,35000000.0,2524.0,23,Defender,187.0,0,1,2.341,2.616,16.615,0.9318181818181819,3960.0,3.213,1.4689999999999999,15.193,1.0663983903420524,4473.0,2020,Man City
Roberto Pereyra,1500000.0,9000000.0,2159.0,29,Midfield,182.0,0,1,3.597,0.0,3.0,2.5315729047072333,1742.0,6.0,2.597,5.0,1.829032258064516,3100.0,2020,Udinese
Ajdin Hrustić,1000000.0,650000.0,2159.0,24,Midfield,180.0,1,0,2.556,2.556,7.668,1.1727799227799227,2072.0,0.0,0.852,1.704,2.1828358208955225,1072.0,2020,E. Frankfurt
Javi Hernández,500000.0,900000.0,2524.0,22,Defender,180.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,CD Leganés
Diego Llorente,20000000.0,20000000.0,2890.0,27,Defender,186.0,0,1,0.928,1.856,6.165,1.488833746898263,2418.0,0.0,0.0,6.165,1.0248447204968945,1932.0,2020,Leeds
Aaron Hickey,1700000.0,600000.0,2890.0,18,Defender,185.0,0,0,0.82,0.82,2.237,1.6872224962999505,2027.0,0.0,0.0,0.0,0.0,0.0,2020,Bologna
Nélson Semedo,32000000.0,40000000.0,1794.0,27,Defender,177.0,0,1,0.928,4.906000000000001,7.359,1.382765531062124,2994.0,0.928,2.4530000000000003,9.481,1.1534464842396952,2887.0,2020,Wolves
Pasquale Mazzocchi,300000.0,400000.0,2524.0,25,Defender,183.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,Venezia
Scott McKenna,3270000.0,2000000.0,2524.0,24,Defender,189.0,1,0,0.82,0.0,6.710999999999999,1.1140849782535964,2989.0,0.82,1.64,7.976999999999999,1.2269712601326455,2714.0,2020,Nottm Forest
Harry Arter,5500000.0,3500000.0,365.0,31,Midfield,177.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.060726729716277,2009.0,2020,Nottm Forest
