Feature 1,Feature 2,Correlation
1/3,Goal creating actions p 90,-0.13
% Aerial Duels won,days_left_on_contract,0.13
% Short pass completed,height_in_cm,-0.13
Key passes,goals_conceded_per_90_season1,-0.13
1/3,Tackles Won,0.13
Errors made,adjusted_clean_sheet_season2,0.13
% Long passes completed,Shot creating actions p 90,0.13
Take ons attempted,is_tier1_nation,-0.13
Goals & Assists,Pass completion %,0.13
Assists p 90,Pass completion %,0.13
Matches Played,goals_conceded_per_90_season1,-0.13
carries penalty area,minutes_played_season2,0.13
Pass completion %,adjusted_assists_season1,0.13
Possessions lost,goals_conceded_per_90_season1,0.13
% Aerial Duels won,adjusted_assists_season2,-0.13
Avg Mins per Match,goals_conceded_per_90_season1,-0.13
Passes Attempted,goals_conceded_per_90_season1,-0.13
Tackles Won,transfer_fee,0.13
1/3,height_in_cm,0.13
Possessions lost,goals_conceded_per_90_season2,-0.13
carries final 3rd,season,-0.13
Saves,goals_conceded_per_90_season2,0.13
Tackles Won,season,-0.13
Goal creating actions p 90,days_left_on_contract,-0.13
adjusted_assists_season1,minutes_played_season2,0.13
Interceptions,is_left_footed,-0.12
Progressive Passes,goals_conceded_per_90_season1,-0.12
% Dribbles tackled,% Successful take-ons,0.12
% Shots on target,Saves,0.12
Saves,Total Shots,0.12
Saves,Shots p 90,0.12
1/3,Passes blocked,0.12
carries final 3rd,is_tier1_nation,0.12
Tackles attempted,Take ons attempted,0.12
% Short pass completed,Interceptions,0.12
Progressive Passes,transfer_fee,0.12
Progressive passes distance,Times tackled during take-on,0.12
Saves %,carries_prgc,0.12
Progressive Carries,Saves %,0.12
Crosses Stopped,minutes_played_season1,-0.12
height_in_cm,is_tier1_nation,-0.12
Pass completion %,carries_prgc,0.12
Pass completion %,Progressive Carries,0.12
is_tier1_nation,season,-0.12
Passes Completed,carries final 3rd,0.12
Passes Completed,age,-0.12
% Long passes completed,Goal creating actions p 90,-0.12
% Penalty saves,Total Shots,-0.12
% Penalty saves,carries penalty area,-0.12
% Penalty saves,% Shots on target,-0.12
% Penalty saves,Shots p 90,-0.12
Crosses Stopped,touches_def_pen,-0.12
% Aerial Duels won,Goals & Assists,0.12
% Aerial Duels won,Assists p 90,0.12
% Long passes completed,goals_conceded_per_90_season2,0.12
% Aerial Duels won,adjusted_assists_season1,0.12
Avg Mins per Match,goals_conceded_per_90_season2,0.12
% Short pass completed,Tackles attempted,0.12
Take ons attempted,carries penalty area,0.12
Matches Played,goals_conceded_per_90_season2,0.12
% Medium passes completed,adjusted_assists_season1,0.12
% Long passes completed,Passes blocked,0.12
% Medium passes completed,Goals & Assists,0.12
% Medium passes completed,Assists p 90,0.12
% Aerial Duels won,carries final 3rd,0.12
Crosses Stopped,carries_prgc,-0.12
Crosses Stopped,Progressive Carries,-0.12
Passes Attempted,Times tackled during take-on,0.12
adjusted_assists_season2,touches_def_pen,0.12
Matches Played,Pass completion %,-0.12
Shot creating actions p 90,carries penalty area,-0.12
minutes_played_season2,season,-0.12
% Aerial Duels won,is_left_footed,0.12
Avg Mins per Match,Pass completion %,-0.12
Progressive Passes,Saves %,0.12
adjusted_assists_season2,transfer_fee,0.12
Progressive Passes,season,0.12
adjusted_assists_season2,adjusted_clean_sheet_season1,0.12
Times tackled during take-on,adjusted_clean_sheet_season1,-0.12
% Long passes completed,% Penalty saves,0.12
% Shots on target,Passes Attempted,0.12
Passes Attempted,Shots p 90,0.12
Passes Attempted,Total Shots,0.12
% Dribbles tackled,Shots p 90,-0.11
% Dribbles tackled,carries_prgc,-0.11
% Dribbles tackled,Progressive Carries,-0.11
% Dribbles tackled,Times tackled during take-on,-0.11
% Dribbles tackled,% Shots on target,-0.11
% Dribbles tackled,Total Shots,-0.11
% Shots on target,height_in_cm,0.11
Total Shots,height_in_cm,0.11
Shots p 90,height_in_cm,0.11
Matches Played,Passes blocked,0.11
Tackles Won,Take ons attempted,0.11
% Aerial Duels won,% Successful take-ons,0.11
Interceptions,adjusted_clean_sheet_season1,0.11
Clearances,height_in_cm,0.11
Pass completion %,age,0.11
adjusted_assists_season2,age,0.11
% Aerial Duels won,Take ons attempted,0.11
Clearances,Passes blocked,0.11
Interceptions,Key passes,0.11
Clearances,is_left_footed,-0.11
Goal creating actions p 90,Tackles attempted,-0.11
height_in_cm,transfer_fee,0.11
% Short pass completed,Tackles Won,0.11
Avg Mins per Match,carries penalty area,0.11
1/3,Shots p 90,0.11
% Shots on target,1/3,0.11
1/3,Total Shots,0.11
Matches Played,carries penalty area,0.11
Key passes,days_left_on_contract,0.11
Pass completion %,Saves,-0.11
Passes Completed,is_left_footed,0.11
Tackles attempted,season,-0.11
% Shots on target,Progressive passes distance,0.11
Progressive passes distance,Shots p 90,0.11
Progressive passes distance,Total Shots,0.11
% Dribbles tackled,% Medium passes completed,0.11
goals_conceded_per_90_season1,touches_def_pen,-0.11
Possessions lost,season,0.11
% Long passes completed,transfer_fee,0.11
% Dribbles tackled,% Long passes completed,0.11
Assists p 90,Passes blocked,-0.11
Goals & Assists,Passes blocked,-0.11
Passes blocked,adjusted_assists_season1,-0.11
% Long passes completed,carries penalty area,0.11
% Penalty saves,is_left_footed,0.11
% Dribbles tackled,is_left_footed,-0.11
% Penalty saves,1/3,0.11
Clearances,transfer_fee,0.11
Passes into penalty area,days_left_on_contract,0.11
Saves %,Tackles Won,0.11
Possessions lost,is_left_footed,-0.11
% Penalty saves,minutes_played_season2,-0.11
has_advanced_stats,season,-0.11
Goal creating actions p 90,transfer_fee,-0.11
% Medium passes completed,Tackles Won,0.11
% Aerial Duels won,height_in_cm,-0.11
% Shots on target,transfer_fee,-0.11
Total Shots,transfer_fee,-0.11
Shots p 90,transfer_fee,-0.11
% Penalty saves,age,-0.11
Crosses Stopped,Matches Played,-0.11
Take ons attempted,transfer_fee,0.11
Avg Mins per Match,Crosses Stopped,-0.11
Progressive passes distance,adjusted_assists_season2,0.11
Progressive Passes,minutes_played_season2,0.11
% Medium passes completed,1/3,0.11
Clearances,season,0.11
Avg Mins per Match,Passes blocked,0.11
% Successful take-ons,goals_conceded_per_90_season1,-0.11
Shots p 90,Tackles attempted,-0.11
% Shots on target,Tackles attempted,-0.11
Progressive Carries,Tackles attempted,-0.11
Tackles attempted,carries_prgc,-0.11
Tackles attempted,Total Shots,-0.11
Saves,season,-0.11
Interceptions,days_left_on_contract,0.11
Passes blocked,adjusted_clean_sheet_season1,0.1
Goal creating actions p 90,adjusted_clean_sheet_season2,-0.1
days_left_on_contract,height_in_cm,0.1
Progressive passes distance,is_left_footed,0.1
carries final 3rd,touches_def_pen,0.1
% Aerial Duels won,% Shots on target,0.1
% Aerial Duels won,carries penalty area,0.1
% Aerial Duels won,Total Shots,0.1
% Aerial Duels won,Shots p 90,0.1
% Long passes completed,goals_conceded_per_90_season1,0.1
Clearances,Progressive Carries,0.1
Clearances,carries_prgc,0.1
% Long passes completed,Saves %,0.1
Shot creating actions p 90,carries final 3rd,-0.1
% Dribbles tackled,Errors made,-0.1
Interceptions,Times tackled during take-on,-0.1
carries final 3rd,is_left_footed,-0.1
Interceptions,adjusted_assists_season2,0.1
Pass completion %,season,0.1
Saves %,height_in_cm,0.1
% Shots on target,touches_def_pen,0.1
Total Shots,touches_def_pen,0.1
Shots p 90,touches_def_pen,0.1
Passes into penalty area,carries penalty area,-0.1
Passes into penalty area,Times tackled during take-on,-0.1
Passes Attempted,adjusted_assists_season2,0.1
adjusted_assists_season1,goals_conceded_per_90_season1,0.1
Possessions lost,minutes_played_season1,0.1
1/3,goals_conceded_per_90_season2,0.1
Tackles Won,carries penalty area,0.1
Saves %,Take ons attempted,0.1
Clearances,adjusted_clean_sheet_season2,0.1
% Dribbles tackled,Passes blocked,0.1
Passes into penalty area,adjusted_assists_season2,-0.1
% Medium passes completed,Key passes,0.1
1/3,carries final 3rd,-0.1
Passes into penalty area,goals_conceded_per_90_season2,0.1
% Successful take-ons,Total Shots,-0.1
% Shots on target,% Successful take-ons,-0.1
% Successful take-ons,Shots p 90,-0.1
adjusted_assists_season2,has_advanced_stats,0.1
% Penalty saves,adjusted_assists_season1,0.1
Total Shots,goals_conceded_per_90_season2,0.1
Shots p 90,goals_conceded_per_90_season2,0.1
% Shots on target,goals_conceded_per_90_season2,0.1
% Short pass completed,season,0.1
adjusted_clean_sheet_season2,days_left_on_contract,0.1
% Penalty saves,Progressive Carries,0.1
% Penalty saves,carries_prgc,0.1
Passes blocked,is_left_footed,-0.1
carries penalty area,minutes_played_season1,0.1
% Penalty saves,Goals & Assists,0.1
% Penalty saves,Assists p 90,0.1
Shot creating actions p 90,Tackles Won,-0.1
Passes Completed,height_in_cm,-0.1
Pass completion %,Shots p 90,-0.1
Pass completion %,Total Shots,-0.1
% Shots on target,Pass completion %,-0.1
Tackles Won,goals_conceded_per_90_season1,0.1
% Dribbles tackled,transfer_fee,0.1
% Long passes completed,Possessions lost,-0.1
Pass completion %,days_left_on_contract,-0.1
age,carries final 3rd,-0.1
Possessions lost,Tackles Won,0.1
Passes blocked,Possessions lost,-0.1
% Successful take-ons,adjusted_clean_sheet_season2,0.1
% Dribbles tackled,season,-0.09
Tackles attempted,minutes_played_season2,-0.09
Passes blocked,Shot creating actions p 90,0.09
Key passes,Times tackled during take-on,-0.09
% Shots on target,Key passes,-0.09
Key passes,Shots p 90,-0.09
Key passes,carries penalty area,-0.09
Key passes,Total Shots,-0.09
1/3,goals_conceded_per_90_season1,-0.09
% Successful take-ons,is_left_footed,-0.09
Errors made,age,-0.09
Interceptions,transfer_fee,0.09
Tackles Won,is_tier1_nation,-0.09
% Aerial Duels won,season,0.09
Progressive passes distance,goals_conceded_per_90_season1,-0.09
Errors made,Possessions lost,0.09
Goal creating actions p 90,Tackles Won,-0.09
Pass completion %,carries final 3rd,0.09
Shot creating actions p 90,is_left_footed,0.09
1/3,adjusted_assists_season2,0.09
Crosses Stopped,Passes Attempted,-0.09
1/3,carries penalty area,-0.09
% Medium passes completed,days_left_on_contract,0.09
adjusted_assists_season1,age,0.09
% Dribbles tackled,adjusted_clean_sheet_season2,0.09
Goals & Assists,is_left_footed,0.09
Assists p 90,is_left_footed,0.09
Shot creating actions p 90,minutes_played_season2,-0.09
Passes blocked,carries final 3rd,-0.09
% Successful take-ons,Interceptions,0.09
Shots p 90,Take ons attempted,-0.09
Take ons attempted,Total Shots,-0.09
% Shots on target,Take ons attempted,-0.09
carries penalty area,season,-0.09
height_in_cm,minutes_played_season2,-0.09
Crosses Stopped,Times tackled during take-on,0.09
Pass completion %,carries penalty area,0.09
% Dribbles tackled,Shot creating actions p 90,-0.09
Times tackled during take-on,transfer_fee,-0.09
% Dribbles tackled,% Penalty saves,0.09
Clearances,carries final 3rd,-0.09
Goal creating actions p 90,Interceptions,-0.09
goals_conceded_per_90_season2,is_tier1_nation,0.09
Goal creating actions p 90,Key passes,-0.09
Crosses Stopped,Passes Completed,-0.09
% Short pass completed,Shot creating actions p 90,0.09
% Shots on target,is_tier1_nation,0.09
Shots p 90,is_tier1_nation,0.09
Total Shots,is_tier1_nation,0.09
carries penalty area,is_tier1_nation,0.09
Times tackled during take-on,touches_def_pen,0.09
adjusted_assists_season2,is_left_footed,-0.09
age,transfer_fee,-0.09
Avg Mins per Match,Times tackled during take-on,0.09
Goals & Assists,season,-0.09
Assists p 90,season,-0.09
% Long passes completed,Tackles attempted,0.09
is_left_footed,minutes_played_season1,0.09
Passes Attempted,carries final 3rd,0.09
Errors made,transfer_fee,0.09
carries_prgc,height_in_cm,-0.09
Progressive Carries,height_in_cm,-0.09
Progressive passes distance,Shot creating actions p 90,0.08
Matches Played,Times tackled during take-on,0.08
adjusted_assists_season1,height_in_cm,-0.08
Passes Completed,Times tackled during take-on,0.08
Passes Completed,carries penalty area,0.08
Interceptions,season,0.08
Pass completion %,Take ons attempted,-0.08
Passes into penalty area,minutes_played_season2,0.08
Errors made,Passes blocked,0.08
Progressive Passes,adjusted_clean_sheet_season2,0.08
Saves %,goals_conceded_per_90_season2,-0.08
% Shots on target,Tackles Won,-0.08
Progressive Carries,Tackles Won,-0.08
Tackles Won,carries_prgc,-0.08
Tackles Won,Total Shots,-0.08
Tackles Won,Times tackled during take-on,-0.08
Shots p 90,Tackles Won,-0.08
% Short pass completed,Errors made,0.08
Shot creating actions p 90,Take ons attempted,0.08
Assists p 90,adjusted_clean_sheet_season1,0.08
Goals & Assists,adjusted_clean_sheet_season1,0.08
Take ons attempted,adjusted_assists_season2,0.08
% Long passes completed,Errors made,0.08
% Medium passes completed,Interceptions,0.08
% Medium passes completed,Passes into penalty area,0.08
is_tier1_nation,minutes_played_season1,0.08
% Successful take-ons,minutes_played_season2,0.08
Shot creating actions p 90,Total Shots,-0.08
Shot creating actions p 90,Shots p 90,-0.08
% Shots on target,Shot creating actions p 90,-0.08
% Short pass completed,adjusted_assists_season1,0.08
Passes Completed,Possessions lost,0.08
% Short pass completed,Goals & Assists,0.08
% Short pass completed,Assists p 90,0.08
Passes Completed,season,0.08
Pass completion %,Progressive passes distance,-0.08
Clearances,is_tier1_nation,0.08
% Dribbles tackled,carries final 3rd,0.08
adjusted_assists_season1,days_left_on_contract,0.08
% Penalty saves,is_tier1_nation,-0.08
Avg Mins per Match,is_left_footed,0.08
Pass completion %,Shot creating actions p 90,-0.08
Goals & Assists,goals_conceded_per_90_season2,0.08
Assists p 90,goals_conceded_per_90_season2,0.08
Passes into penalty area,carries_prgc,0.08
Passes into penalty area,Progressive Carries,0.08
Assists p 90,adjusted_assists_season2,-0.08
Goals & Assists,adjusted_assists_season2,-0.08
% Medium passes completed,adjusted_assists_season2,0.08
Matches Played,is_left_footed,0.08
Passes blocked,transfer_fee,-0.08
Goals & Assists,adjusted_clean_sheet_season2,-0.08
Assists p 90,adjusted_clean_sheet_season2,-0.08
% Penalty saves,Crosses Stopped,-0.08
goals_conceded_per_90_season2,season,-0.08
% Penalty saves,Tackles Won,0.08
Interceptions,Shot creating actions p 90,-0.08
% Short pass completed,goals_conceded_per_90_season1,0.08
% Long passes completed,carries final 3rd,0.08
Progressive Passes,carries penalty area,-0.08
Tackles Won,goals_conceded_per_90_season2,-0.08
Times tackled during take-on,minutes_played_season1,0.08
goals_conceded_per_90_season2,is_left_footed,0.07
Shot creating actions p 90,adjusted_clean_sheet_season2,-0.07
Passes Completed,adjusted_assists_season2,0.07
Passes blocked,minutes_played_season1,0.07
Crosses Stopped,Progressive passes distance,-0.07
Possessions lost,is_tier1_nation,-0.07
Pass completion %,Times tackled during take-on,-0.07
% Dribbles tackled,goals_conceded_per_90_season1,0.07
Crosses Stopped,adjusted_clean_sheet_season2,0.07
1/3,season,0.07
% Shots on target,goals_conceded_per_90_season1,0.07
Total Shots,goals_conceded_per_90_season1,0.07
Shots p 90,goals_conceded_per_90_season1,0.07
% Short pass completed,adjusted_assists_season2,0.07
Goals & Assists,days_left_on_contract,0.07
Assists p 90,days_left_on_contract,0.07
carries penalty area,touches_def_pen,0.07
Shot creating actions p 90,Tackles attempted,-0.07
Matches Played,is_tier1_nation,0.07
Tackles Won,is_left_footed,-0.07
carries_prgc,is_left_footed,-0.07
Progressive Carries,is_left_footed,-0.07
% Shots on target,is_left_footed,-0.07
Times tackled during take-on,is_left_footed,-0.07
Shots p 90,is_left_footed,-0.07
Total Shots,is_left_footed,-0.07
carries penalty area,is_left_footed,-0.07
Crosses Stopped,adjusted_assists_season2,-0.07
Avg Mins per Match,is_tier1_nation,0.07
% Long passes completed,Tackles Won,0.07
goals_conceded_per_90_season1,season,-0.07
Goal creating actions p 90,Passes into penalty area,-0.07
Crosses Stopped,goals_conceded_per_90_season2,0.07
Key passes,adjusted_clean_sheet_season2,0.07
Saves %,carries penalty area,0.07
Passes blocked,goals_conceded_per_90_season2,0.07
Possessions lost,height_in_cm,-0.07
Crosses Stopped,Possessions lost,0.07
% Shots on target,Passes Completed,0.07
Passes Completed,Total Shots,0.07
Passes Completed,Shots p 90,0.07
% Medium passes completed,Shot creating actions p 90,0.07
goals_conceded_per_90_season2,height_in_cm,-0.07
minutes_played_season1,season,-0.07
adjusted_clean_sheet_season1,carries_prgc,0.07
Progressive Carries,adjusted_clean_sheet_season1,0.07
Saves %,is_left_footed,0.07
Possessions lost,adjusted_assists_season2,-0.07
% Penalty saves,Take ons attempted,0.07
Passes into penalty area,is_tier1_nation,0.07
% Shots on target,Passes into penalty area,0.07
Passes into penalty area,Shots p 90,0.07
Passes into penalty area,Total Shots,0.07
1/3,Crosses Stopped,0.07
% Medium passes completed,Possessions lost,-0.07
% Medium passes completed,Passes blocked,-0.07
Shot creating actions p 90,adjusted_assists_season1,-0.07
% Long passes completed,Passes into penalty area,0.07
Passes Attempted,is_left_footed,0.07
Matches Played,Total Shots,0.07
% Shots on target,Matches Played,0.07
Matches Played,Shots p 90,0.07
Progressive passes distance,carries final 3rd,0.07
Goals & Assists,Shot creating actions p 90,-0.07
Assists p 90,Shot creating actions p 90,-0.07
Progressive Passes,is_left_footed,-0.06
Shots p 90,adjusted_clean_sheet_season2,-0.06
% Shots on target,adjusted_clean_sheet_season2,-0.06
Total Shots,adjusted_clean_sheet_season2,-0.06
Interceptions,adjusted_assists_season1,0.06
Passes Attempted,season,0.06
Tackles attempted,is_left_footed,-0.06
% Dribbles tackled,Take ons attempted,0.06
days_left_on_contract,is_tier1_nation,0.06
Pass completion %,is_left_footed,0.06
% Medium passes completed,Tackles attempted,0.06
Goals & Assists,Interceptions,0.06
Assists p 90,Interceptions,0.06
Crosses Stopped,adjusted_clean_sheet_season1,0.06
adjusted_clean_sheet_season1,height_in_cm,0.06
adjusted_assists_season2,carries final 3rd,-0.06
1/3,carries_prgc,-0.06
1/3,Progressive Carries,-0.06
adjusted_clean_sheet_season1,carries penalty area,0.06
% Penalty saves,Goal creating actions p 90,-0.06
Take ons attempted,days_left_on_contract,0.06
% Long passes completed,% Successful take-ons,-0.06
% Shots on target,Avg Mins per Match,0.06
Avg Mins per Match,Shots p 90,0.06
Avg Mins per Match,Total Shots,0.06
% Shots on target,Passes blocked,-0.06
Passes blocked,Total Shots,-0.06
Passes blocked,Times tackled during take-on,-0.06
Passes blocked,Progressive Carries,-0.06
Passes blocked,Shots p 90,-0.06
Passes blocked,carries_prgc,-0.06
Passes blocked,carries penalty area,-0.06
Progressive Passes,adjusted_assists_season2,-0.06
adjusted_assists_season1,adjusted_clean_sheet_season2,0.06
Saves,carries penalty area,0.06
Key passes,carries_prgc,0.06
Key passes,Progressive Carries,0.06
% Long passes completed,Interceptions,0.06
Interceptions,height_in_cm,0.06
Key passes,is_left_footed,0.06
Shot creating actions p 90,season,0.06
Tackles attempted,goals_conceded_per_90_season1,0.06
Goal creating actions p 90,adjusted_assists_season2,-0.06
% Shots on target,Saves %,0.06
Saves %,Total Shots,0.06
Saves %,Shots p 90,0.06
Errors made,carries penalty area,-0.06
Times tackled during take-on,goals_conceded_per_90_season2,0.06
% Successful take-ons,Times tackled during take-on,0.06
% Penalty saves,adjusted_clean_sheet_season2,-0.06
Tackles attempted,transfer_fee,0.06
Key passes,minutes_played_season2,0.06
Goals & Assists,Possessions lost,-0.06
Assists p 90,Possessions lost,-0.06
Possessions lost,adjusted_assists_season1,-0.06
is_left_footed,transfer_fee,-0.06
% Long passes completed,1/3,0.06
Tackles attempted,goals_conceded_per_90_season2,-0.06
Tackles attempted,carries final 3rd,-0.06
Pass completion %,goals_conceded_per_90_season2,0.06
% Long passes completed,Take ons attempted,-0.06
Crosses Stopped,Take ons attempted,0.06
% Successful take-ons,transfer_fee,0.06
% Aerial Duels won,Possessions lost,0.06
Errors made,carries_prgc,0.06
Errors made,Progressive Carries,0.06
% Short pass completed,Progressive Passes,0.06
% Short pass completed,is_left_footed,0.06
Passes Completed,Shot creating actions p 90,0.06
Errors made,Pass completion %,-0.06
Assists p 90,carries final 3rd,-0.06
Goals & Assists,carries final 3rd,-0.06
adjusted_assists_season1,carries final 3rd,-0.06
adjusted_clean_sheet_season1,is_tier1_nation,0.05
Saves,carries final 3rd,0.05
1/3,is_left_footed,0.05
% Long passes completed,Times tackled during take-on,-0.05
% Aerial Duels won,Shot creating actions p 90,0.05
Crosses Stopped,Progressive Passes,-0.05
height_in_cm,is_left_footed,-0.05
Passes Attempted,carries penalty area,0.05
adjusted_assists_season2,height_in_cm,-0.05
Goal creating actions p 90,Progressive Carries,0.05
Goal creating actions p 90,carries_prgc,0.05
Interceptions,Progressive Carries,0.05
Interceptions,carries_prgc,0.05
% Long passes completed,Crosses Stopped,-0.05
Clearances,minutes_played_season2,0.05
Pass completion %,Tackles attempted,-0.05
Interceptions,Progressive Passes,0.05
Clearances,carries penalty area,-0.05
% Long passes completed,Goals & Assists,0.05
% Long passes completed,Assists p 90,0.05
adjusted_assists_season1,is_tier1_nation,0.05
% Long passes completed,adjusted_assists_season1,0.05
Saves,goals_conceded_per_90_season1,-0.05
Tackles attempted,is_tier1_nation,-0.05
Clearances,Crosses Stopped,0.05
Matches Played,adjusted_assists_season2,0.05
Errors made,Shot creating actions p 90,0.05
% Dribbles tackled,Possessions lost,0.05
Possessions lost,carries final 3rd,-0.05
Crosses Stopped,Passes into penalty area,0.05
% Medium passes completed,height_in_cm,-0.05
% Medium passes completed,Goal creating actions p 90,0.05
Clearances,Shot creating actions p 90,0.05
Goal creating actions p 90,Passes blocked,-0.05
Avg Mins per Match,adjusted_assists_season2,0.05
goals_conceded_per_90_season1,is_left_footed,0.05
% Shots on target,season,0.05
Shots p 90,season,0.05
Total Shots,season,0.05
carries_prgc,season,0.05
Progressive Carries,season,0.05
% Dribbles tackled,minutes_played_season2,0.05
Shot creating actions p 90,Times tackled during take-on,0.05
adjusted_clean_sheet_season1,is_left_footed,0.05
age,carries penalty area,-0.05
Saves,Times tackled during take-on,0.05
Times tackled during take-on,height_in_cm,-0.05
Progressive passes distance,carries penalty area,0.04
Tackles Won,minutes_played_season2,-0.04
Errors made,is_left_footed,-0.04
% Medium passes completed,Total Shots,-0.04
% Medium passes completed,Shots p 90,-0.04
% Medium passes completed,% Shots on target,-0.04
% Successful take-ons,Crosses Stopped,-0.04
% Medium passes completed,season,0.04
% Short pass completed,1/3,0.04
season,transfer_fee,0.04
adjusted_assists_season2,carries_prgc,-0.04
Progressive Carries,adjusted_assists_season2,-0.04
Times tackled during take-on,adjusted_assists_season2,-0.04
% Shots on target,adjusted_assists_season2,-0.04
Shots p 90,adjusted_assists_season2,-0.04
Total Shots,adjusted_assists_season2,-0.04
adjusted_assists_season2,carries penalty area,-0.04
Shot creating actions p 90,height_in_cm,0.04
Key passes,adjusted_assists_season2,0.04
Total Shots,minutes_played_season2,0.04
% Shots on target,minutes_played_season2,0.04
Shots p 90,minutes_played_season2,0.04
Passes blocked,Passes into penalty area,0.04
% Penalty saves,goals_conceded_per_90_season1,-0.04
Interceptions,carries final 3rd,-0.04
Crosses Stopped,minutes_played_season2,-0.04
% Medium passes completed,goals_conceded_per_90_season1,0.04
% Penalty saves,Errors made,0.04
Saves,is_left_footed,0.04
adjusted_assists_season1,adjusted_assists_season2,-0.04
Shot creating actions p 90,transfer_fee,0.04
Crosses Stopped,Shots p 90,0.04
Crosses Stopped,Total Shots,0.04
% Shots on target,Crosses Stopped,0.04
% Shots on target,Errors made,0.04
Errors made,Shots p 90,0.04
Errors made,Total Shots,0.04
Shot creating actions p 90,carries_prgc,0.04
Progressive Carries,Shot creating actions p 90,0.04
Interceptions,carries penalty area,0.04
% Successful take-ons,Key passes,0.04
is_left_footed,touches_def_pen,0.04
Passes Attempted,is_tier1_nation,-0.04
Goals & Assists,is_tier1_nation,-0.04
Assists p 90,is_tier1_nation,-0.04
Progressive Passes,goals_conceded_per_90_season2,0.04
Avg Mins per Match,Shot creating actions p 90,-0.04
age,season,0.04
Pass completion %,Saves %,0.04
Errors made,Times tackled during take-on,0.04
Matches Played,Shot creating actions p 90,-0.04
Passes Attempted,Shot creating actions p 90,0.04
carries penalty area,days_left_on_contract,-0.04
Progressive Carries,days_left_on_contract,-0.04
carries_prgc,days_left_on_contract,-0.04
Tackles attempted,height_in_cm,-0.04
Shot creating actions p 90,minutes_played_season1,-0.04
Saves %,minutes_played_season2,0.04
Goals & Assists,Shots p 90,-0.04
Assists p 90,carries penalty area,-0.04
Goals & Assists,carries_prgc,-0.04
Goals & Assists,Progressive Carries,-0.04
Assists p 90,Total Shots,-0.04
% Shots on target,Goals & Assists,-0.04
% Shots on target,Assists p 90,-0.04
Assists p 90,Progressive Carries,-0.04
Goals & Assists,Times tackled during take-on,-0.04
Assists p 90,carries_prgc,-0.04
Assists p 90,Times tackled during take-on,-0.04
Goals & Assists,carries penalty area,-0.04
Goals & Assists,Total Shots,-0.04
Assists p 90,Shots p 90,-0.04
Progressive Carries,adjusted_assists_season1,-0.04
adjusted_assists_season1,carries_prgc,-0.04
Times tackled during take-on,adjusted_assists_season1,-0.04
% Shots on target,adjusted_assists_season1,-0.04
Shots p 90,adjusted_assists_season1,-0.04
adjusted_assists_season1,carries penalty area,-0.04
Total Shots,adjusted_assists_season1,-0.04
Interceptions,Take ons attempted,0.04
Interceptions,Pass completion %,-0.04
days_left_on_contract,minutes_played_season2,0.04
% Dribbles tackled,height_in_cm,-0.04
% Aerial Duels won,Times tackled during take-on,-0.04
Pass completion %,goals_conceded_per_90_season1,-0.04
% Short pass completed,Goal creating actions p 90,0.04
Pass completion %,Passes blocked,0.04
Errors made,days_left_on_contract,0.04
adjusted_clean_sheet_season1,season,-0.04
Times tackled during take-on,days_left_on_contract,0.04
Total Shots,days_left_on_contract,0.04
Shots p 90,days_left_on_contract,0.04
% Shots on target,days_left_on_contract,0.04
% Successful take-ons,Goal creating actions p 90,-0.04
% Medium passes completed,Times tackled during take-on,-0.04
% Short pass completed,age,-0.04
Goal creating actions p 90,Take ons attempted,-0.04
Goal creating actions p 90,carries penalty area,-0.04
Key passes,is_tier1_nation,0.03
Key passes,goals_conceded_per_90_season2,0.03
Progressive Passes,days_left_on_contract,-0.03
Interceptions,age,0.03
Pass completion %,adjusted_clean_sheet_season2,0.03
Interceptions,Passes blocked,0.03
Goal creating actions p 90,season,0.03
% Medium passes completed,is_left_footed,0.03
Progressive Carries,goals_conceded_per_90_season2,-0.03
carries_prgc,goals_conceded_per_90_season2,-0.03
Possessions lost,carries_prgc,-0.03
% Shots on target,Possessions lost,-0.03
Possessions lost,Progressive Carries,-0.03
Possessions lost,Total Shots,-0.03
Possessions lost,Shots p 90,-0.03
Possessions lost,carries penalty area,-0.03
days_left_on_contract,goals_conceded_per_90_season2,0.03
Saves %,age,0.03
1/3,adjusted_assists_season1,0.03
% Long passes completed,days_left_on_contract,0.03
1/3,Goals & Assists,0.03
1/3,Assists p 90,0.03
% Aerial Duels won,goals_conceded_per_90_season1,-0.03
Key passes,carries final 3rd,-0.03
% Penalty saves,Times tackled during take-on,0.03
% Short pass completed,Key passes,0.03
% Shots on target,minutes_played_season1,0.03
Shots p 90,minutes_played_season1,0.03
Total Shots,minutes_played_season1,0.03
Shot creating actions p 90,days_left_on_contract,-0.03
Goal creating actions p 90,Progressive Passes,-0.03
Key passes,age,-0.03
Passes Attempted,height_in_cm,-0.03
% Shots on target,carries final 3rd,-0.03
Total Shots,carries final 3rd,-0.03
Shots p 90,carries final 3rd,-0.03
Progressive Carries,carries final 3rd,-0.03
carries final 3rd,carries_prgc,-0.03
Times tackled during take-on,carries final 3rd,-0.03
Goal creating actions p 90,is_left_footed,-0.03
adjusted_assists_season2,is_tier1_nation,-0.03
% Short pass completed,Passes blocked,-0.03
Passes blocked,Tackles attempted,0.03
Crosses Stopped,age,0.03
% Penalty saves,Pass completion %,0.03
days_left_on_contract,goals_conceded_per_90_season1,0.03
Passes into penalty area,is_left_footed,-0.03
Progressive passes distance,is_tier1_nation,0.03
