Feature 1,Feature 2,Correlation
days_left_on_contract,season,-0.41
Interceptions,Passes Attempted,0.41
% Penalty saves,touches_def_pen,0.41
Key passes,adjusted_clean_sheet_season1,0.4
Key passes,Saves,0.4
adjusted_clean_sheet_season2,goals_conceded_per_90_season2,0.4
adjusted_clean_sheet_season2,age,0.4
age,minutes_played_season2,0.4
adjusted_clean_sheet_season2,goals_conceded_per_90_season1,0.4
% Aerial Duels won,1/3,0.4
Passes into penalty area,Saves,0.39
Clearances,Key passes,0.39
% Penalty saves,Passes Completed,0.39
Saves,Tackles Won,0.39
Clearances,Interceptions,0.38
% Penalty saves,Passes Attempted,0.38
Take ons attempted,touches_def_pen,0.38
Passes Completed,Progressive Passes,0.38
Interceptions,Progressive passes distance,0.38
% Penalty saves,Avg Mins per Match,0.38
1/3,adjusted_clean_sheet_season1,0.37
Avg Mins per Match,Tackles attempted,0.37
% Penalty saves,Matches Played,0.37
Matches Played,Tackles attempted,0.37
Crosses Stopped,height_in_cm,0.37
Progressive Passes,carries final 3rd,0.37
Passes Attempted,Take ons attempted,0.37
Interceptions,minutes_played_season1,0.37
age,has_advanced_stats,0.36
Key passes,transfer_fee,0.36
% Penalty saves,Progressive passes distance,0.36
adjusted_clean_sheet_season2,has_advanced_stats,0.36
Passes Completed,Passes into penalty area,0.35
% Penalty saves,Saves,0.35
Errors made,Passes into penalty area,0.35
% Successful take-ons,touches_def_pen,0.35
Tackles attempted,touches_def_pen,0.35
Tackles attempted,days_left_on_contract,0.35
Interceptions,Passes Completed,0.35
Pass completion %,height_in_cm,-0.35
Errors made,minutes_played_season1,0.35
Take ons attempted,minutes_played_season1,0.35
% Aerial Duels won,adjusted_clean_sheet_season1,0.35
Progressive Carries,age,0.35
age,carries_prgc,0.35
1/3,Pass completion %,-0.34
Avg Mins per Match,Tackles Won,0.34
Saves,Take ons attempted,0.34
Passes into penalty area,Progressive Passes,0.34
Matches Played,Tackles Won,0.34
% Dribbles tackled,Avg Mins per Match,0.34
% Dribbles tackled,Matches Played,0.34
% Dribbles tackled,days_left_on_contract,0.34
Errors made,Passes Completed,0.34
Avg Mins per Match,adjusted_clean_sheet_season2,0.34
Clearances,Saves %,0.34
% Long passes completed,minutes_played_season2,0.34
Matches Played,adjusted_clean_sheet_season2,0.34
Progressive Passes,minutes_played_season1,0.33
% Aerial Duels won,Passes into penalty area,0.33
Interceptions,Tackles attempted,0.33
% Dribbles tackled,touches_def_pen,0.33
% Aerial Duels won,Interceptions,0.33
% Short pass completed,Saves %,0.32
% Aerial Duels won,Saves %,0.32
% Successful take-ons,Saves,0.32
Goals & Assists,Passes Completed,0.32
Assists p 90,Passes Completed,0.32
Passes Attempted,Progressive Passes,0.32
Passes Completed,adjusted_assists_season1,0.32
Tackles Won,touches_def_pen,0.32
Take ons attempted,Times tackled during take-on,0.32
% Aerial Duels won,% Short pass completed,0.32
Progressive passes distance,Tackles attempted,0.32
% Medium passes completed,Saves %,0.32
adjusted_clean_sheet_season1,goals_conceded_per_90_season2,0.32
Avg Mins per Match,Take ons attempted,0.32
Matches Played,Take ons attempted,0.32
Clearances,Pass completion %,-0.32
% Successful take-ons,carries final 3rd,0.32
Crosses Stopped,goals_conceded_per_90_season1,0.31
% Successful take-ons,Passes Attempted,0.31
% Dribbles tackled,minutes_played_season1,0.31
Possessions lost,Tackles attempted,0.31
% Medium passes completed,Pass completion %,0.31
% Successful take-ons,Progressive passes distance,0.31
% Successful take-ons,Errors made,0.31
% Long passes completed,Progressive passes distance,0.31
Shot creating actions p 90,is_tier1_nation,-0.31
Passes into penalty area,Take ons attempted,0.31
% Short pass completed,Pass completion %,0.31
Clearances,Errors made,0.31
Passes Completed,Take ons attempted,0.31
Interceptions,Tackles Won,0.3
% Dribbles tackled,Progressive passes distance,0.3
adjusted_clean_sheet_season2,carries final 3rd,0.3
% Successful take-ons,Matches Played,0.3
% Successful take-ons,Avg Mins per Match,0.3
% Aerial Duels won,Key passes,0.3
Passes blocked,adjusted_assists_season2,0.3
age,days_left_on_contract,-0.3
% Successful take-ons,Passes Completed,0.3
% Long passes completed,% Medium passes completed,0.3
% Penalty saves,minutes_played_season1,0.29
% Dribbles tackled,Progressive Passes,-0.29
Tackles attempted,minutes_played_season1,0.29
Passes blocked,season,-0.29
% Successful take-ons,minutes_played_season1,0.29
Passes Attempted,Tackles attempted,0.29
adjusted_clean_sheet_season2,carries_prgc,0.29
Progressive Carries,adjusted_clean_sheet_season2,0.29
Progressive Passes,carries_prgc,0.29
Progressive Carries,Progressive Passes,0.29
% Short pass completed,Avg Mins per Match,0.29
% Successful take-ons,Possessions lost,0.29
% Long passes completed,Passes Attempted,0.29
% Short pass completed,Matches Played,0.28
Clearances,age,-0.28
1/3,Saves %,0.28
% Dribbles tackled,adjusted_assists_season2,0.28
Errors made,minutes_played_season2,0.28
% Short pass completed,minutes_played_season1,0.28
Times tackled during take-on,goals_conceded_per_90_season1,0.28
% Medium passes completed,goals_conceded_per_90_season2,0.28
Passes Completed,transfer_fee,0.28
Goals & Assists,Passes Attempted,0.28
Assists p 90,Passes Attempted,0.28
Passes Attempted,adjusted_assists_season1,0.28
Possessions lost,Times tackled during take-on,0.28
% Short pass completed,touches_def_pen,0.28
% Penalty saves,goals_conceded_per_90_season2,0.28
Clearances,days_left_on_contract,0.28
Saves %,Shot creating actions p 90,-0.28
% Aerial Duels won,Goal creating actions p 90,-0.27
Saves %,transfer_fee,0.27
Progressive Passes,touches_def_pen,0.27
Pass completion %,Passes Completed,0.27
Tackles Won,days_left_on_contract,0.27
Goal creating actions p 90,is_tier1_nation,-0.27
adjusted_assists_season2,minutes_played_season2,0.27
% Penalty saves,adjusted_clean_sheet_season1,0.27
% Aerial Duels won,adjusted_clean_sheet_season2,0.27
Matches Played,days_left_on_contract,0.27
Saves,days_left_on_contract,0.27
Goal creating actions p 90,minutes_played_season1,-0.27
% Short pass completed,goals_conceded_per_90_season2,0.27
% Dribbles tackled,Passes Attempted,0.26
Avg Mins per Match,days_left_on_contract,0.26
% Shots on target,Progressive Passes,0.26
Progressive Passes,Total Shots,0.26
Progressive Passes,Shots p 90,0.26
Goals & Assists,height_in_cm,-0.26
